Tax ID,Rank,Name,TP,FN,FP,TN
6,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Azorhizobium,10,0,0,0
7,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Azorhizobium|Azorhizobium,10,0,0,0
9,species,Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Erwiniaceae|Buchnera|Buchnera,10,0,0,0
10,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio,10,0,0,0
11,species,Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonas|Cellulomonas,10,0,0,0
13,genus,Bacteria|Dictyoglomi|Dictyoglomia|Dictyoglomales|Dictyoglomaceae|Dictyoglomus,8,2,0,0
14,species,Bacteria|Dictyoglomi|Dictyoglomia|Dictyoglomales|Dictyoglomaceae|Dictyoglomus|Dictyoglomus,2,8,0,0
18,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter,10,0,0,0
19,species,Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter|Pelobacter,10,0,0,0
20,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium,10,0,0,0
22,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella,10,0,0,0
24,species,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella,10,0,0,0
29,order,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales,10,0,0,0
31,family,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae,10,0,0,0
32,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus,10,0,0,0
33,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus|Myxococcus,10,0,0,0
34,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus|Myxococcus,10,0,0,0
35,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus|Myxococcus,10,0,0,0
39,family,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae,10,0,0,0
40,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Stigmatella,5,5,0,0
41,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Stigmatella|Stigmatella,5,5,0,0
42,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Cystobacter,10,0,0,0
43,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Cystobacter|Cystobacter,10,0,0,0
44,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Melittangium,8,2,0,0
47,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Archangium,10,0,0,0
48,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Archangium|Archangium,10,0,0,0
49,family,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae,10,0,0,0
50,genus,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae|Chondromyces,10,0,0,0
52,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae|Chondromyces|Chondromyces,10,0,0,0
56,species,Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae|Sorangium|Sorangium,10,0,0,0
59,genus,Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Vitreoscilla,4,6,0,0
68,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter,10,0,0,0
69,species,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter,10,0,0,0
75,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter,10,0,0,0
81,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium,10,0,0,0
85,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas,10,0,0,0
88,genus,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Leptothrix,9,0,1,0
104,species,Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Cyclobacterium|Cyclobacterium,10,0,0,0
105,genus,Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Runella,10,0,0,0
107,genus,Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma,10,0,0,0
112,order,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales,10,0,0,0
113,genus,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Gemmataceae|Gemmata,10,0,0,0
114,species,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Gemmataceae|Gemmata|Gemmata,10,0,0,0
118,genus,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Planctomyces,10,0,0,0
123,genus,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Pirellula,1,9,0,0
125,species,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Pirellula|Pirellula,1,9,0,0
126,family,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae,10,0,0,0
127,genus,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Isosphaeraceae|Isosphaera,2,8,0,0
128,species,Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Isosphaeraceae|Isosphaera|Isosphaera,2,8,0,0
133,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylocystaceae|Methylocystis,10,0,0,0
136,order,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales,10,0,0,0
137,family,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae,10,0,0,0
138,genus,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Borreliaceae|Borrelia,10,0,0,0
146,genus,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaeta,8,2,0,0
154,species,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Spirochaeta|Spirochaeta,7,3,0,0
157,genus,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema,10,0,0,0
158,species,Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema|Treponema,4,6,0,0
159,species,Bacteria|Spirochaetes|Spirochaetia|Brachyspirales|Brachyspiraceae|Brachyspira|Brachyspira,5,5,0,0
170,family,Bacteria|Spirochaetes|Spirochaetia|Leptospiraceae,10,0,0,0
171,genus,Bacteria|Spirochaetes|Spirochaetia|Leptospiraceae|Leptospira,10,0,0,0
172,species,Bacteria|Spirochaetes|Spirochaetia|Leptospiraceae|Leptospira|Leptospira,3,7,0,0
173,species,Bacteria|Spirochaetes|Spirochaetia|Leptospiraceae|Leptospira|Leptospira,5,5,0,0
187,genus,Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Aquaspirillum,5,5,0,0
191,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum,10,0,0,0
192,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum|Azospirillum,10,0,0,0
193,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum|Azospirillum,10,0,0,0
194,genus,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter,10,0,0,0
195,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter,7,3,0,0
197,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter,10,0,0,0
199,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter,7,3,0,0
201,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter,10,0,0,0
209,genus,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter,10,0,0,0
210,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter,10,0,0,0
213,species,Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter,1,9,0,0
222,genus,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter,10,0,0,0
226,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas,10,0,0,0
227,species,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas,10,0,0,0
228,species,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas,10,0,0,0
234,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella,10,0,0,0
235,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella,9,1,0,0
236,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella,8,1,1,0
237,genus,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium,10,0,0,0
238,species,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Elizabethkingia|Elizabethkingia,10,0,0,0
246,species,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium,10,0,0,0
250,species,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium,10,0,0,0
253,species,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium,10,0,0,0
254,species,Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium,10,0,0,0
262,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella,10,0,0,0
263,species,Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella,10,0,0,0
265,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus,10,0,0,0
266,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus,9,1,0,0
270,genus,Bacteria|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermus,10,0,0,0
279,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Xanthobacter,10,0,0,0
280,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Xanthobacter|Xanthobacter,10,0,0,0
283,genus,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas,10,0,0,0
285,species,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas|Comamonas,7,3,0,0
286,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas,10,0,0,0
287,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
288,species,Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas,10,0,0,0
292,species,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia,10,0,0,0
293,species,Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas,6,4,0,0
294,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
296,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
300,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
301,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,4,6,0,0
303,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
305,species,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia|Ralstonia,10,0,0,0
316,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
317,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas,10,0,0,0
329,species,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia|Ralstonia,8,2,0,0
337,species,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia,7,3,0,0
338,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas,10,0,0,0
339,species,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas,10,0,0,0
343,species,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas,8,2,0,0
346,species,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas,10,0,0,0
352,genus,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Azotobacter,10,0,0,0
353,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Azotobacter|Azotobacter,10,0,0,0
354,species,Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Azotobacter|Azotobacter,8,2,0,0
356,order,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales,10,0,0,0
357,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium,10,0,0,0
358,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium,10,0,0,0
373,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|Agrobacterium,4,6,0,0
374,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium,10,0,0,0
375,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium,10,0,0,0
376,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|Bradyrhizobium,1,9,0,0
379,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium,10,0,0,0
380,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium|Sinorhizobium,10,0,0,0
381,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium,6,4,0,0
382,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Sinorhizobium|Sinorhizobium,10,0,0,0
384,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium,10,0,0,0
396,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium,10,0,0,0
398,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium,4,6,0,0
399,species,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Neorhizobium|Neorhizobium,8,2,0,0
403,family,Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae,10,0,0,0
407,genus,Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium,10,0,0,0
